period,series,threads
2023-01-01,AVG,17
2023-04-01,AVG,5
2023-07-01,AVG,12
2023-10-01,AVG,22
2024-01-01,AVG,20
2024-04-01,AVG,9
2024-07-01,AVG,10
2024-10-01,AVG,8
2025-01-01,AVG,10
2025-04-01,AVG,8
2025-07-01,AVG,4
2025-10-01,AVG,8
2026-01-01,AVG,6
2026-04-01,AVG,8
2026-07-01,AVG,2
2023-01-01,Avast,22
2023-04-01,Avast,9
2023-07-01,Avast,13
2023-10-01,Avast,28
2024-01-01,Avast,18
2024-04-01,Avast,14
2024-07-01,Avast,17
2024-10-01,Avast,13
2025-01-01,Avast,12
2025-04-01,Avast,19
2025-07-01,Avast,10
2025-10-01,Avast,11
2026-01-01,Avast,11
2026-04-01,Avast,9
2026-07-01,Avast,0
2023-01-01,Avira,2
2023-04-01,Avira,0
2023-07-01,Avira,2
2023-10-01,Avira,3
2024-01-01,Avira,1
2024-04-01,Avira,1
2024-07-01,Avira,2
2024-10-01,Avira,2
2025-01-01,Avira,2
2025-04-01,Avira,5
2025-07-01,Avira,3
2025-10-01,Avira,4
2026-01-01,Avira,1
2026-04-01,Avira,0
2026-07-01,Avira,0
2023-01-01,Bitdefender,11
2023-04-01,Bitdefender,5
2023-07-01,Bitdefender,8
2023-10-01,Bitdefender,12
2024-01-01,Bitdefender,7
2024-04-01,Bitdefender,8
2024-07-01,Bitdefender,16
2024-10-01,Bitdefender,18
2025-01-01,Bitdefender,38
2025-04-01,Bitdefender,12
2025-07-01,Bitdefender,90
2025-10-01,Bitdefender,25
2026-01-01,Bitdefender,19
2026-04-01,Bitdefender,12
2026-07-01,Bitdefender,4
2023-01-01,ESET,6
2023-04-01,ESET,9
2023-07-01,ESET,5
2023-10-01,ESET,13
2024-01-01,ESET,7
2024-04-01,ESET,5
2024-07-01,ESET,8
2024-10-01,ESET,10
2025-01-01,ESET,10
2025-04-01,ESET,7
2025-07-01,ESET,5
2025-10-01,ESET,7
2026-01-01,ESET,6
2026-04-01,ESET,3
2026-07-01,ESET,2
2023-01-01,Kaspersky,5
2023-04-01,Kaspersky,9
2023-07-01,Kaspersky,8
2023-10-01,Kaspersky,14
2024-01-01,Kaspersky,7
2024-04-01,Kaspersky,4
2024-07-01,Kaspersky,14
2024-10-01,Kaspersky,10
2025-01-01,Kaspersky,8
2025-04-01,Kaspersky,11
2025-07-01,Kaspersky,11
2025-10-01,Kaspersky,6
2026-01-01,Kaspersky,5
2026-04-01,Kaspersky,6
2026-07-01,Kaspersky,4
2023-01-01,Malwarebytes,9
2023-04-01,Malwarebytes,12
2023-07-01,Malwarebytes,7
2023-10-01,Malwarebytes,12
2024-01-01,Malwarebytes,7
2024-04-01,Malwarebytes,6
2024-07-01,Malwarebytes,14
2024-10-01,Malwarebytes,4
2025-01-01,Malwarebytes,7
2025-04-01,Malwarebytes,4
2025-07-01,Malwarebytes,6
2025-10-01,Malwarebytes,6
2026-01-01,Malwarebytes,3
2026-04-01,Malwarebytes,13
2026-07-01,Malwarebytes,2
2023-01-01,McAfee,0
2023-04-01,McAfee,7
2023-07-01,McAfee,6
2023-10-01,McAfee,9
2024-01-01,McAfee,8
2024-04-01,McAfee,5
2024-07-01,McAfee,10
2024-10-01,McAfee,15
2025-01-01,McAfee,6
2025-04-01,McAfee,14
2025-07-01,McAfee,19
2025-10-01,McAfee,14
2026-01-01,McAfee,7
2026-04-01,McAfee,7
2026-07-01,McAfee,1
2023-01-01,Microsoft Defender,37
2023-04-01,Microsoft Defender,29
2023-07-01,Microsoft Defender,40
2023-10-01,Microsoft Defender,52
2024-01-01,Microsoft Defender,50
2024-04-01,Microsoft Defender,49
2024-07-01,Microsoft Defender,73
2024-10-01,Microsoft Defender,68
2025-01-01,Microsoft Defender,44
2025-04-01,Microsoft Defender,64
2025-07-01,Microsoft Defender,51
2025-10-01,Microsoft Defender,53
2026-01-01,Microsoft Defender,31
2026-04-01,Microsoft Defender,48
2026-07-01,Microsoft Defender,9
2023-01-01,Norton,17
2023-04-01,Norton,13
2023-07-01,Norton,19
2023-10-01,Norton,32
2024-01-01,Norton,18
2024-04-01,Norton,40
2024-07-01,Norton,40
2024-10-01,Norton,55
2025-01-01,Norton,35
2025-04-01,Norton,31
2025-07-01,Norton,36
2025-10-01,Norton,30
2026-01-01,Norton,21
2026-04-01,Norton,29
2026-07-01,Norton,5
2023-01-01,_all_antivirus,217
2023-04-01,_all_antivirus,157
2023-07-01,_all_antivirus,169
2023-10-01,_all_antivirus,268
2024-01-01,_all_antivirus,235
2024-04-01,_all_antivirus,236
2024-07-01,_all_antivirus,295
2024-10-01,_all_antivirus,309
2025-01-01,_all_antivirus,365
2025-04-01,_all_antivirus,292
2025-07-01,_all_antivirus,317
2025-10-01,_all_antivirus,289
2026-01-01,_all_antivirus,245
2026-04-01,_all_antivirus,224
2026-07-01,_all_antivirus,52
2023-01-01,_all_threads,2481
2023-04-01,_all_threads,2093
2023-07-01,_all_threads,3136
2023-10-01,_all_threads,4360
2024-01-01,_all_threads,3121
2024-04-01,_all_threads,2727
2024-07-01,_all_threads,4701
2024-10-01,_all_threads,4830
2025-01-01,_all_threads,4276
2025-04-01,_all_threads,3356
2025-07-01,_all_threads,4257
2025-10-01,_all_threads,3282
2026-01-01,_all_threads,2836
2026-04-01,_all_threads,2371
2026-07-01,_all_threads,823
