day,all_questions,bitdefender_questions,pct_bitdefender
2025-07-01,39,0,0.0
2025-07-02,49,0,0.0
2025-07-03,39,0,0.0
2025-07-04,45,0,0.0
2025-07-05,27,1,3.7
2025-07-06,27,0,0.0
2025-07-07,41,0,0.0
2025-07-08,40,0,0.0
2025-07-09,57,1,1.75
2025-07-10,52,0,0.0
2025-07-11,45,2,4.44
2025-07-12,27,0,0.0
2025-07-13,30,0,0.0
2025-07-14,49,0,0.0
2025-07-15,50,0,0.0
2025-07-16,54,0,0.0
2025-07-17,54,1,1.85
2025-07-18,48,0,0.0
2025-07-19,33,0,0.0
2025-07-20,32,0,0.0
2025-07-21,45,0,0.0
2025-07-22,64,0,0.0
2025-07-23,54,0,0.0
2025-07-24,68,0,0.0
2025-07-25,48,0,0.0
2025-07-26,37,0,0.0
2025-07-27,32,1,3.13
2025-07-28,68,0,0.0
2025-07-29,62,1,1.61
2025-07-30,53,0,0.0
2025-07-31,67,0,0.0
2025-08-01,52,0,0.0
2025-08-02,45,0,0.0
2025-08-03,34,0,0.0
2025-08-04,57,0,0.0
2025-08-05,52,0,0.0
2025-08-06,62,1,1.61
2025-08-07,53,0,0.0
2025-08-08,34,0,0.0
2025-08-09,21,0,0.0
2025-08-10,35,1,2.86
2025-08-11,74,13,17.57
2025-08-12,71,22,30.99
2025-08-13,94,27,28.72
2025-08-14,85,9,10.59
2025-08-15,51,0,0.0
2025-08-16,28,0,0.0
2025-08-17,31,0,0.0
2025-08-18,49,0,0.0
2025-08-19,38,0,0.0
2025-08-20,46,1,2.17
2025-08-21,58,0,0.0
2025-08-22,42,1,2.38
2025-08-23,45,0,0.0
2025-08-24,21,0,0.0
2025-08-25,45,0,0.0
2025-08-26,59,1,1.69
2025-08-27,72,2,2.78
2025-08-28,54,0,0.0
2025-08-29,53,0,0.0
2025-08-30,34,0,0.0
2025-08-31,30,0,0.0
2025-09-01,64,0,0.0
2025-09-02,42,0,0.0
2025-09-03,62,1,1.61
2025-09-04,50,0,0.0
2025-09-05,46,0,0.0
2025-09-06,33,0,0.0
2025-09-07,28,0,0.0
2025-09-08,55,0,0.0
2025-09-09,47,0,0.0
2025-09-10,44,0,0.0
2025-09-11,52,1,1.92
2025-09-12,51,0,0.0
2025-09-13,28,0,0.0
2025-09-14,28,0,0.0
2025-09-15,41,0,0.0
2025-09-16,46,0,0.0
2025-09-17,60,0,0.0
2025-09-18,46,0,0.0
2025-09-19,50,1,2.0
2025-09-20,44,0,0.0
2025-09-21,33,0,0.0
2025-09-22,45,0,0.0
2025-09-23,46,0,0.0
2025-09-24,39,1,2.56
2025-09-25,42,0,0.0
2025-09-26,33,0,0.0
2025-09-27,33,0,0.0
2025-09-28,18,0,0.0
2025-09-29,49,2,4.08
2025-09-30,41,0,0.0
