month,all_questions,gmail_questions,pct_gmail
2023-01-01,859,122,14.2
2023-02-01,752,111,14.76
2023-03-01,870,124,14.25
2023-04-01,689,107,15.53
2023-05-01,704,102,14.49
2023-06-01,700,134,19.14
2023-07-01,918,118,12.85
2023-08-01,890,129,14.49
2023-09-01,1328,165,12.42
2023-10-01,1977,197,9.96
2023-11-01,1308,174,13.3
2023-12-01,1075,144,13.4
2024-01-01,1155,158,13.68
2024-02-01,1024,149,14.55
2024-03-01,942,145,15.39
2024-04-01,974,131,13.45
2024-05-01,872,119,13.65
2024-06-01,881,112,12.71
2024-07-01,1320,184,13.94
2024-08-01,1775,211,11.89
2024-09-01,1606,212,13.2
2024-10-01,1759,207,11.77
2024-11-01,1628,206,12.65
2024-12-01,1443,210,14.55
2025-01-01,1701,232,13.64
2025-02-01,1354,175,12.92
2025-03-01,1221,166,13.6
2025-04-01,1173,170,14.49
2025-05-01,1135,158,13.92
2025-06-01,1048,157,14.98
2025-07-01,1436,199,13.86
2025-08-01,1525,214,14.03
2025-09-01,1296,205,15.82
2025-10-01,1236,183,14.81
2025-11-01,1065,154,14.46
2025-12-01,981,143,14.58
2026-01-01,922,152,16.49
2026-02-01,975,121,12.41
2026-03-01,939,165,17.57
2026-04-01,781,116,14.85
2026-05-01,841,135,16.05
2026-06-01,750,91,12.13
2026-07-01,751,113,15.05
2026-08-01,36,4,11.11
