month,all_questions,gmail_questions,pct_gmail
2023-01-01,859,113,13.15
2023-02-01,752,101,13.43
2023-03-01,870,119,13.68
2023-04-01,689,102,14.8
2023-05-01,704,96,13.64
2023-06-01,700,126,18.0
2023-07-01,918,109,11.87
2023-08-01,890,125,14.04
2023-09-01,1328,154,11.6
2023-10-01,1977,181,9.16
2023-11-01,1308,156,11.93
2023-12-01,1075,136,12.65
2024-01-01,1155,148,12.81
2024-02-01,1024,137,13.38
2024-03-01,942,140,14.86
2024-04-01,974,123,12.63
2024-05-01,872,110,12.61
2024-06-01,881,105,11.92
2024-07-01,1320,172,13.03
2024-08-01,1775,198,11.15
2024-09-01,1606,200,12.45
2024-10-01,1759,189,10.74
2024-11-01,1628,190,11.67
2024-12-01,1443,199,13.79
2025-01-01,1701,228,13.4
2025-02-01,1354,168,12.41
2025-03-01,1221,158,12.94
2025-04-01,1173,165,14.07
2025-05-01,1135,154,13.57
2025-06-01,1048,150,14.31
2025-07-01,1436,191,13.3
2025-08-01,1525,205,13.44
2025-09-01,1296,195,15.05
2025-10-01,1236,179,14.48
2025-11-01,1065,147,13.8
2025-12-01,981,140,14.27
2026-01-01,922,147,15.94
2026-02-01,975,114,11.69
2026-03-01,939,159,16.93
2026-04-01,781,109,13.96
2026-05-01,840,131,15.6
2026-06-01,750,87,11.6
2026-07-01,751,108,14.38
2026-08-01,72,14,19.44
